date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:10	49844/49844	U-----	200	untouched ('OK')	text/html	etag:W/%226224f3e9-c2b4%22	https://heavy_code_industry.gitee.io/code_heavy_industry/	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/index.html	(from )
11:24:10	127/127	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20May%202022%2003:24:12%20GMT	https://heavy_code_industry.gitee.io/robots.txt		(from )
11:24:11	25368/25368	U-----	200	untouched ('OK')	text/css	etag:W/%226224f3e9-6318%22	https://heavy_code_industry.gitee.io/code_heavy_industry/assets/css/0.styles.f7de6701.css	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/assets/css/0.styles.f7de6701.css	(from https://heavy_code_industry.gitee.io/code_heavy_industry/)
11:24:11	686744/686744	U-----	200	untouched ('')	application/javascript	etag:W/%226224f3e9-a7a98%22	https://heavy_code_industry.gitee.io/code_heavy_industry/assets/js/app.972bd0f0.js	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/assets/js/app.972bd0f0.js	(from https://heavy_code_industry.gitee.io/code_heavy_industry/)
11:24:11	35998/35998	U-----	200	untouched ('')	application/javascript	etag:W/%226224f3e9-8c9e%22	https://heavy_code_industry.gitee.io/code_heavy_industry/assets/js/4.904e76b5.js	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/assets/js/4.904e76b5.js	(from https://heavy_code_industry.gitee.io/code_heavy_industry/)
11:24:11	4254/4254	U-----	200	untouched ('')	application/javascript	etag:W/%226224f3e9-109e%22	https://heavy_code_industry.gitee.io/code_heavy_industry/assets/js/335.9272b0cc.js	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/assets/js/335.9272b0cc.js	(from https://heavy_code_industry.gitee.io/code_heavy_industry/)
11:24:38	41674/41674	U-----	200	untouched ('')	application/javascript	etag:W/%226224f3e9-a2ca%22	https://heavy_code_industry.gitee.io/code_heavy_industry/assets/js/100.384331b2.js	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/assets/js/100.384331b2.js	(from https://heavy_code_industry.gitee.io/code_heavy_industry/)
11:24:38	69545/69545	U-----	200	untouched ('')	application/javascript	etag:W/%226224f3e9-10fa9%22	https://heavy_code_industry.gitee.io/code_heavy_industry/assets/js/10.7093d550.js	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/assets/js/10.7093d550.js	(from https://heavy_code_industry.gitee.io/code_heavy_industry/)
11:24:38	31558/31558	U-----	200	untouched ('')	application/javascript	etag:W/%226224f3e9-7b46%22	https://heavy_code_industry.gitee.io/code_heavy_industry/assets/js/1.d66e04b2.js	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/assets/js/1.d66e04b2.js	(from https://heavy_code_industry.gitee.io/code_heavy_industry/)
11:24:45	28845/28845	U-----	200	untouched ('')	application/javascript	etag:W/%226224f3e9-70ad%22	https://heavy_code_industry.gitee.io/code_heavy_industry/assets/js/101.582f78e7.js	C:/My%20Websites/Code_heavy_industry/heavy_code_industry.gitee.io/code_heavy_industry/assets/js/101.582f78e7.js	(from https://heavy_code_industry.gitee.io/code_heavy_industry/)
